timestamp,ms_played,track_name,artist_name,album_name,track_uri
2012-07-28T11:20:57Z,307640,Naked,Lloyd,King Of Hearts,spotify:track:5KOHYILlTrP4KXjIvLMEBu
2012-07-28T11:25:15Z,257146,Real Love,Eric Benét,The One,spotify:track:6crQeLSdvpEO6Iemx2XBPZ
2012-07-28T11:30:29Z,313480,Purple Kisses,The-Dream,Love/Hate,spotify:track:2V5Z2ufbahT6PQSJiRBWyJ
2012-07-28T11:43:35Z,276906,Rock The Boat,Aaliyah Tribute,A Salute To Aaliyah,spotify:track:3Q6qrj7HIgu9fxhHBkfmdi
2012-07-28T11:51:23Z,450838,Moments In Love - Café Buddha Del Mar Bar Mix as made famous by The Art Of Noise,The Rhythm Divine,Lounge Of Love,spotify:track:0rrJLE8c2fhrSDDuuy4Rob
2012-07-28T11:55:36Z,252826,Lemme See,USHER,Looking 4 Myself (Deluxe Version),spotify:track:0drVeoGy7njENU29Z3lPEy
2012-07-28T12:00:15Z,278773,P.D.A. (We Just Don't Care),John Legend,Get Lifted/Once Again,spotify:track:5QFLWPwiMqc6QReNkmAWWY
2012-07-28T12:05:50Z,304600,Love,Musiq Soulchild,Best Of,spotify:track:3QALeErPmX8yFiI6ypCQYF
2012-07-28T12:15:37Z,289586,How Deep Is Your Love - 2007 Remaster,Keith Sweat,The Best of Keith Sweat: Make You Sweat,spotify:track:0EtISCRxWQKvVTtpmtJnNd
2012-07-28T12:20:06Z,268240,Trading Places,USHER,Here I Stand,spotify:track:5yC7WplXvhIHsp8NBYV5dT
2012-07-28T12:25:29Z,275106,Bed,J. Holiday,Back Of My Lac',spotify:track:6TlRNJaezOdzdECnQeRuMM
2012-07-28T12:28:58Z,208800,Don't Give Up,Tank,This Is How I Feel,spotify:track:24dRhbVcoodBGmdruhAJSM
2012-07-28T12:32:42Z,223866,Share My Love,R. Kelly,Write Me Back (Deluxe Version),spotify:track:4jgRoolhwiYTY57vuSlfVt
2012-07-28T12:38:04Z,291133,sobeautiful,Musiq Soulchild,Atlantic/Elektra Records Present The Love - EP,spotify:track:3ekvPNnFzO7okhIkZ8jsGH
2012-07-28T12:46:59Z,309133,With You,Marsha Ambrosius,Late Nights & Early Mornings,spotify:track:7p3zXqc0IxJy2Q6gijQ1JN
2012-07-28T12:51:27Z,266631,Can't Get Enough of Your Love Baby,Barry White,The Unforgettable Voices: 30 Best of Dinah Washington & Barry White,spotify:track:6UUuFD6xLmA9XCUQ6r9w7W
2012-07-28T12:57:22Z,318666,Soul Sista,Bilal,1st Born Second,spotify:track:1eetzMDPNpYSZOreBw7SSk
2012-07-28T13:00:56Z,213226,Underneath the Stars,Mariah Carey,Daydream,spotify:track:1kkbUvmqZiNmWCR9TLd4tO
2012-07-28T13:07:39Z,325933,Trust,Meshell Ndegeocello,Cookie: The Anthropological Mixtape,spotify:track:0iIrfhTSJqUwmvRps4Rx7z
2012-07-28T13:12:12Z,241227,Playground,Häzel,Favorite All Stars Vol. 3,spotify:track:3xMwvCRhYGLL2fZJqzh0Mp
2012-07-28T13:16:02Z,230213,Music For Love,Mario,Go,spotify:track:0f4KipQ83iEzldlZbXNFlN
2012-07-28T13:20:49Z,285933,Lights Down Low,Bobby V.,Disturbing Tha Peace Presents Bobby Valentino,spotify:track:54lSh5FxOiRYKJt47hNdxn
2012-07-28T13:27:51Z,391400,Adore,Prince,"Sign ""O"" the Times",spotify:track:1nXIZY6vOyQgXNtBnou1Ph
2012-07-28T13:35:14Z,268466,Funny How Time Flies (When You're Having Fun),Janet Jackson,Control,spotify:track:3Ru4nUidPRMnC8eBWM8DoQ
2012-07-28T13:40:47Z,299000,Reasons,"Earth, Wind & Fire",The Eternal Dance,spotify:track:2GKtXecEody6Wz2SnRoxYX
2012-07-28T13:45:09Z,261253,Bittersweet,Blue Six,Noesis,spotify:track:56WjRZE8PHTbB3qpsujT6h
2012-07-28T13:51:35Z,385733,Submerge: Til We Become the Sun,Maxwell,Embrya,spotify:track:5ZL9wgG54AKjfIOG4qtHJx
2012-07-28T13:56:56Z,289693,The Way You Feel,Brian Culbertson,It's On Tonight,spotify:track:3cleyNrXg8h8Er9CTMnxNQ
2012-07-28T20:59:45Z,254053,Stranger,Hilary Duff,Best Of,spotify:track:39IrLwTXsUWV9IZZuh4A64
2012-07-29T05:37:41Z,207680,Late Nights & Early Mornings,Marsha Ambrosius,Late Nights & Early Mornings,spotify:track:5HzaibYfoRNQubqx7mB4J6
2012-07-29T05:46:38Z,260773,teachme,Musiq Soulchild,Luvanmusiq,spotify:track:0ODFPypnJLE6hKgahiuSzn
2012-09-16T00:50:47Z,267093,Lie To Me,Ne-Yo,Year Of The Gentleman,spotify:track:1esIJxNe8G5uljudKAuKn6
2012-09-16T00:59:20Z,214293,"Bust It Baby, Pt. 2",Plies,Total Club Hits Vol. 2,spotify:track:56du2aCIzpCG7sI5geIvCC
2012-09-16T01:03:37Z,228693,Let Go,Ne-Yo,In My Own Words,spotify:track:5rY3Ph2bLcC7yXPGynHS8V
2012-09-16T01:09:23Z,266840,Because Of You,Ne-Yo,Because Of You,spotify:track:6CFPFnS9EcLs2I0nWqtWci
2012-09-16T01:13:37Z,253573,Make Me Better,Fabolous,From Nothin' To Somethin',spotify:track:0YkJU6TjjwzsVXUPRIO0DB
2012-09-16T01:17:32Z,234786,Genuine Only,Ne-Yo,Libra Scale,spotify:track:0XFmpSjOkj5J9dqelcbHw5
2012-09-16T01:21:36Z,243226,One In A Million,Ne-Yo,Libra Scale,spotify:track:03ZtlmARAMWhAgZSIs6Fes
2012-09-16T01:27:17Z,264146,Can We Chill,Ne-Yo,Because Of You,spotify:track:6DXmaq6PEmiy0lp8Q2F92V
2012-09-16T01:32:55Z,326186,Knock You Down,Keri Hilson,In A Perfect World...,spotify:track:58FUwmyGUqkt53YPUcm7cJ
2012-09-16T01:38:40Z,254093,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),spotify:track:7lJUnNQC5IX4f2OwH23cBF
2012-09-16T01:46:41Z,219373,Why Don't Ya,Ne-Yo,Bubble Music,spotify:track:3YzWhrOL40qyUgLuohgdlq
2012-09-16T01:52:18Z,232000,Miss Independent,Ne-Yo,Year Of The Gentleman,spotify:track:34ceTg8ChN5HjrqiIYCn9Q
2012-10-14T16:02:56Z,274146,Ride (feat. Ludacris),Ciara,Basic Instinct,spotify:track:3RJclnBV8g9mvHPtSzPf7c
2012-10-14T16:08:01Z,203786,"One, Two Step (feat. Missy Elliott)",Ciara,Goodies,spotify:track:7uKcScNXuO3MWw6LowBjW1
2012-10-14T16:12:52Z,289653,Sorry,Ciara,Sorry,spotify:track:5pKesXZVC43Vcvw1jT7p1f
2012-10-14T16:16:37Z,223000,Goodies (feat. Petey Pablo),Ciara,Goodies,spotify:track:3dFwpxh2yH7C7p9BGEKLVB
2012-10-14T16:20:55Z,256346,Oh (feat. Ludacris),Ciara,Goodies,spotify:track:7i7UIbm5E0DD7aSOYvwp2v
